date,feed,ep_num,title
2020-01-05T05:00:00+00:00,main,251,Married to the Mob with Ang Ferraguto
2020-01-11T05:00:59+00:00,patreon,45,Marvel Performance Review Special with Chris Gethard
2020-01-12T05:00:00+00:00,main,252,Silence of the Lambs with Emily St. James
2020-01-19T05:00:00+00:00,main,253,Philadelphia with Richard Lawson
2020-01-21T05:01:04+00:00,patreon,46,Rogue One with Chris Weitz
2020-01-26T05:00:00+00:00,main,254,Beloved with Jourdain Searles 
2020-02-01T01:12:08+00:00,patreon,47,F9 Trailer - An Emergency Minisode
2020-02-01T05:00:04+00:00,patreon,48,Star Wars
2020-02-02T05:00:00+00:00,main,255,The Fifth Annual Blank Check Awards with Joe Reid
2020-02-09T05:00:00+00:00,main,256,The Truth About Charlie with David Lowery
2020-02-11T05:00:02+00:00,patreon,49,Best of the Decade Blankie Awards with Joe Reid
2020-02-16T05:00:00+00:00,main,257,"Birds of Prey with Ang Ferraguto, Emma Stefansky, Ashleigh Heaton, and Preeti Chhibber"
2020-02-21T05:00:02+00:00,patreon,50,The Empire Strikes Back
2020-02-23T05:00:00+00:00,main,258,"The Manchurian Candidate with the Flop House: Dan McCoy, Stuart Wellington, and Elliott Kalan"
2020-03-01T05:00:00+00:00,main,259,Rachel Getting Married with Ayo Edibiri and Olivia Craighead
2020-03-01T05:00:03+00:00,patreon,51,Return of the Jedi
2020-03-08T05:00:00+00:00,main,260,A Master Builder with John Hodgman
2020-03-09T05:01:00+00:00,patreon,52,March Madness 2020 Recap - Round 1
2020-03-11T11:33:08+00:00,patreon,53,THX 1138/American Graffiti
2020-03-15T16:00:00+00:00,main,261,Ricki and the Flash with Bobby Finger & Lindsey Weber
2020-03-18T16:15:13+00:00,patreon,54,March Madness 2020 Recap - Round 2
2020-03-19T04:00:00+00:00,main,262,Justin Timberlake + The Tennessee Kids 
2020-03-21T04:00:02+00:00,patreon,55,The Force Awakens
2020-03-22T04:39:00+00:00,main,263,5th Anniversary Special
2020-03-26T04:10:31+00:00,patreon,56,March Madness 2020 Recap - Round 3
2020-03-29T15:42:00+00:00,main,264,Mad Max
2020-04-01T04:00:03+00:00,patreon,57,The Last Jedi
2020-04-02T08:01:00+00:00,patreon,58,March Madness 2020 Recap - Round 4
2020-04-05T04:00:00+00:00,main,265,Mad Max 2: The Road Warrior with Jon Gabrus
2020-04-11T04:00:02+00:00,patreon,59,Trolls: The Experience with Richard Lawson
2020-04-12T04:00:00+00:00,main,266,Mad Max Beyond Thunderdome with David Ehrlich
2020-04-19T16:00:00+00:00,main,267,The Witches of Eastwick with K. Austin Collins
2020-04-21T04:00:01+00:00,patreon,60,The Rise of Skywalker
2020-04-26T04:00:00+00:00,main,268,Lorenzo's Oil with Bilge Ebiri
2020-05-01T04:16:00+00:00,patreon,61,Babe with Emily Yoshida
2020-05-03T14:29:00+00:00,main,269,Babe: Pig in the City with Travis McElroy
2020-05-10T04:00:00+00:00,main,270,Happy Feet with Caitlin Durante
2020-05-11T04:01:00+00:00,patreon,62,Toy Story
2020-05-17T16:38:00+00:00,main,271,Happy Feet Two with Sara Rubin
2020-05-21T04:00:03+00:00,patreon,63,Toy Story 2
2020-05-24T04:48:00+00:00,main,272,Mad Max: Fury Road with Emily Yoshida
2020-05-28T08:00:00+00:00,main,273,"Twilight Zone: Nightmare at 20,000 Feet"
2020-05-31T03:30:00+00:00,main,274,Stargate
2020-06-01T04:01:01+00:00,patreon,64,Toy Story 3
2020-06-07T04:21:00+00:00,main,275,When Harry Met Sally... with Dana Stevens
2020-06-11T04:00:01+00:00,patreon,65,Toy Story Toons
2020-06-14T04:00:00+00:00,main,276,This Is My Life with Michelle Collins
2020-06-21T04:00:00+00:00,main,277,Sleepless in Seattle with Katey Rich
2020-06-21T04:00:01+00:00,patreon,66,Toy Story 4
2020-06-28T04:00:00+00:00,main,278,Mixed Nuts with Charles Rogers 
2020-07-01T04:01:01+00:00,patreon,67,Mission: Impossible
