date,feed,ep_num,title,movie,guest,movie_id,movie_original_title,release_date,vote_average,vote_count
2023-02-21T05:01:00+00:00,patreon,172,Men in Black,Men in Black,,607,Men in Black,1997-07-02,7.2,13615
2023-02-26T05:00:00+00:00,main,414,28 Days Later with David Rees,28 Days Later,David Rees,170,28 Days Later,2002-10-31,7.226,6616
2023-03-01T05:00:03+00:00,patreon,174,Men in Black II,Men in Black II,,608,Men in Black II,2002-07-03,6.371,9804
2023-03-11T05:00:02+00:00,patreon,175,28 Weeks Later,28 Weeks Later,,1562,28 Weeks Later,2007-04-26,6.606,4226
2023-03-12T05:00:00+00:00,main,416,Millions with Adam Kempenaar,Millions,Adam Kempenaar,13373,Millions,2004-04-29,6.396,370
2023-03-19T04:00:00+00:00,main,417,Sunshine,Sunshine,,1272,Sunshine,2007-04-05,7.0,3721
2023-03-21T04:00:03+00:00,patreon,177,Men in Black 3,Men in Black 3,,41154,Men in Black 3,2012-05-23,6.523,10201
2023-03-26T04:00:00+00:00,main,418,Slumdog Millionaire with Siddhant Adlakha,Slumdog Millionaire,Siddhant Adlakha,12405,Slumdog Millionaire,2008-11-12,7.73,10448
2023-04-01T04:00:37+00:00,patreon,180,Men in Black: International,Men in Black: International,,479455,Men in Black: International,2019-06-12,5.9,4835
2023-04-02T04:00:00+00:00,main,419,127 Hours with Sean Clements,127 Hours,Sean Clements,44115,127 Hours,2010-11-12,7.083,7420
2023-04-09T04:00:00+00:00,main,420,Trance with Nia DaCosta,Trance,Nia DaCosta,68727,Trance,2013-03-27,6.627,2151
2023-04-11T04:00:02+00:00,patreon,181,2012 Summer Olympics Opening Ceremony,2012 Summer Olympics Opening Ceremony,,123024,London 2012 Olympic Opening Ceremony: Isles of Wonder,2012-07-27,7.721,68
2023-04-16T04:00:00+00:00,main,421,Steve Jobs with Olivia Craighead,Steve Jobs,Olivia Craighead,321697,Steve Jobs,2015-10-09,6.778,4070
2023-04-21T04:01:01+00:00,patreon,182,Planet of the Apes,Planet of the Apes,,871,Planet of the Apes,1968-02-07,7.651,3491
2023-04-23T04:00:00+00:00,main,422,T2 Trainspotting with Scott Aukerman & Shaun Diston,T2 Trainspotting,Scott Aukerman & Shaun Diston,180863,T2 Trainspotting,2017-01-27,6.9,3086
2023-04-30T04:00:00+00:00,main,423,Yesterday with Zach Cherry,Yesterday,Zach Cherry,515195,Yesterday,2019-06-26,6.699,3866
2023-05-01T04:00:06+00:00,patreon,183,Beneath the Planet of the Apes,Beneath the Planet of the Apes,,1685,Beneath the Planet of the Apes,1970-04-23,6.167,1299
2023-05-07T04:00:00+00:00,main,424a,Three Ages / Our Hospitality with Dana Stevens,Three Ages,Dana Stevens,32628,Three Ages,1923-09-24,6.817,120
2023-05-07T04:00:00+00:00,main,424b,Three Ages / Our Hospitality with Dana Stevens,Our Hospitality,Dana Stevens,701,Our Hospitality,1923-11-19,7.507,267
2023-05-11T04:00:02+00:00,patreon,184a,Buster Keaton Shorts with Dana Stevens,The Cook,Dana Stevens,51471,The Cook,1918-09-15,6.2,71
2023-05-11T04:00:02+00:00,patreon,184b,Buster Keaton Shorts with Dana Stevens,One Week,Dana Stevens,23282,One Week,1920-08-29,7.892,263
2023-05-11T04:00:02+00:00,patreon,184c,Buster Keaton Shorts with Dana Stevens,The High Sign,Dana Stevens,46510,The High Sign,1921-04-18,7.078,109
2023-05-11T04:00:02+00:00,patreon,184d,Buster Keaton Shorts with Dana Stevens,The Playhouse,Dana Stevens,51362,The Play House,1921-10-26,6.75,126
2023-05-11T04:00:02+00:00,patreon,184e,Buster Keaton Shorts with Dana Stevens,Cops,Dana Stevens,38742,Cops,1922-03-11,7.136,187
